AdvancedFeature,Assignee,ProdJobID,SandboxJobID,Title,Summary,Description,Image,Rating,Reviews ,tag
jquery popover,Blake,934743,847532,Does This Product Match The Query?,Easily accessible instructions in the UI,Popover instructions.  What more could you ask for?,https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469136818674-1.png,:),This is an awful tool that doesn't help me at all.  Kind of like working with Brian Hazell.,cool_js
liquid for-loop,Brian,695470,847538,Pick the Best Product Group,Iterate through a cell and populate it as separate items in your UI,"Your gonna wanna take a seat for this. Imagine you've got a bunch of data in 1 cell. Why only have 1 item in a cell when you can have bunch? Its a party in that cell. But here's the stinker, when you upload the cell into CF, all those sweet items are gonna get vomitted onto the UI as just one blob of data. Pffff.....No thanks! But heres the answer, For Loops! Liquid for loops to be exact. By implementing a terrific for loop into your design (and splitting your data in the UI) you can split up each item into its own space in the ui? Say what? you heard me right, take your data, split up into multiple items, and friggin display it in your job. Have fun tracking down your socks cuz they just got knocked Off!!",https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469141280635-Screen+Shot+2016-07-21+at+3.47.26+PM.png,:(,This is the best thing since slided bread! and I'm a baker so that's saying something,cool_js
liquid conditional,Brian,934792,847538,Verify Website And Find 'Contact Us' Url. (Updated),Populate information based on what's available in the data set,"OK so you got some data right? Columns, headers, rows, lines, you know what I'm talking about. But let's say in your data you got some holes? Like made for some columns you don't have info for every row. An example that comes to mind is a good ol fashion business listing csv. You got some business names, phones, nubmers and some address info. But! maybe you don't have the zip for all the business because some intern slacked off?? What you gonna do just display the data as 'No Data Available' in the job UI? You'll be the laughing stock of the contributor community! Save your self the embarrasment, by using some liquid condionals so that zip won't display if its missing. It's like Magic!!!",https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469141905361-Screen+Shot+2016-07-21+at+3.49.06+PM.png,:D,"Wow, this is exactly what I was looking for. I'm glad I don't have to do this boring job and have others do it. ",cool_js
twitter widget,Blake,934774,847534,Categorize and Tag Tweets,Tag tweets using a taxonomy!,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469136648197-2.png,;),This is a great widget and it continues to provide tremendous value for our business.  Next to working with Kirsten and Sydney this has to be my favorite experience with CrowdFlower yet!,cool_js
hours widget,Blake,934785,847535,Enter Hours of Operation,Quick way for contributors to enter operating hours for a business.,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.",https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469139904328-3.png,:\,Does what is says it does,cool_js
taxonomy,Sydney ,934748,847528,Categorize Sports Images,Use the taxonomy widget to simply show many categories and subcategories ,Have images? Want categories? Don't have time to deal with it? Use this taxonomy widget to BLOW through all that data and get on with your life. No one wants to work on a computer all day anyways. ,https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469132948010-Screen+Shot+2016-07-21+at+1.28.36+PM.png,¯\_(ツ)_/¯,"I LOVE THIS SO MUCH I USE IT FOR EVERY JOB
This job was super easy to use! +1",taxonomy
jquery tabs,Sydney,934775,800000,Categorize these Companies,Gives valuable information next to each CML question without having to scroll to the instructions,Use these tabs to show descriptions of categories you're looking for. Can be customized to fit any job requirements and design. ,https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469136333354-Screen+Shot+2016-07-21+at+2.24.53+PM.png,:|,"Saved me at least 3 minutes
Helped me with all my survey questions I shouldn't be running on CF anyways!",jquery_tabs
date picker,Sydney,934794,800000,Identify The Birthday of Famous And Not-So Famous People,Collect dates using a custom date picker!,"Everyone has a birthday, why not find those birthday's for people you don't even know! We can help you lurk the internet for birthdays using this handy date picker! Have contributor answer's be formatted exactly how you would like. HAPPY LURKING!",https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469142055289-Screen+Shot+2016-07-21+at+3.56.58+PM.png,;|,"I found my ex in within days, thanks!
Perfect for lurking when you just don't have the time.",date_picker
text annotation,Brian,,847540,,,,,:/,,
option randomizer,Kirsten,934788,847527,Randomize Answer Options,Randomizes radio button answer options,Use this seed to randomize your radio options to trip up contributors,https://s3.amazonaws.com/crowdflower-make-cloud/images%2F1469142132256-randomize_options.png,>8D,Love messing with the contributors!!!,cool_js
